Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Bahamas, The",BHS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1521892341,1684234080,1860269753,2056045568,2271962576,2508828226,2736427334,2999072746,3251647561,3543699574,3343492968,3397875173,3279040064,3527183677,2936231244,2501577224,2631288630,2872181242,3279442760,4136666002,4405354121,3998898305,4266780414,4420258718,5046660151,5290372459,5385440464,5546169977,5674270290,6055997166,5959328366,5710122088,5491676644,5508580405,5682040986,5930843435,6181334427,6308808346,6606361641,7078328700,7372025999,7565587913,7770209036,7671935735,7739670046,8002454496,8203865379,8322536115,8129125598,7789713535,7909580000,7958058021,8134513074,8136305124,8219522122,8319840041
Bosnia and Herzegovina,BIH,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758315073,3332044624,6296153711,8461374187,9781348253,10720357665,11309977384,11807616333,12433420030,12930756839,13719532977,14921121281,15723650301,16624420021,17535688927,17032435501,17163117551,17319001219,17157382446,17568163106,17758228834,18318958459
Belarus,BLR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30520269281,30154026050,27259239549,25187537344,22240595474,19927573545,20485545604,22820897803,24737853219,25578940228,27062518761,28341305586,29771200214,31868043207,35516852230,38855436339,42740979973,46416704251,51151208085,51253510501,55220932614,58282221784,59291315057,59927867090,60960475780,58590516276
Belize,BLZ,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,98654055.93,103480485.8,108543426.1,113923309.6,119619338.2,125517218.7,131505450.8,137966475.6,148130776.9,155694889.5,163180222.4,169641247.1,186975705.2,196982447,223693237.6,231730142.9,231651306.1,246700751.6,266241442.5,286254869,329669765.4,333924614.4,332979086.1,325966488.9,332348733.9,335894393.9,351259072.5,390655516.3,426742696.4,482606906.7,533901148.9,589944979.4,660949328.9,702434234.8,703543650.2,708074285.4,718190703.2,743651848.2,771471541.1,839209608,948632152.6,996212344.5,1047204065,1144900337,1198116304,1229003848,1285311893,1299522123,1341485009,1352206184,1397113450,1426483828,1479846067,1499279704,1560479050,1590416619
Bermuda,BMU,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1236024651,1293870605,1351706621,1366169881,1517951355,1590205840,1818617224,2060039383,2103408633,2175690717,2313026676,2392536968,2435906218,2472047260,2493731885,2587698594,2819001261,2985250054,3028619304,3093673179,3339432263,3418942555,3238237346,3303291222,3319193280,3252693763,3469540014,3599647764,3745657573,3762282453,3763005273,3630006240,3627837777,3736983723,3759391169,3924772345,4026835110,4212069525,4376340237,4524376453,4945919646,5303135528,5224766301,5402967730,5528385008,5620941625,5932559093,6101393206,6194616021,5867281537,5744414000,5552579616,5284137924,5151445060,,
Bolivia,BOL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,4818838338,4919069386,5193072636,5526504333,5791475876,6117247421,6514703077,6964795309,6117247421,6306638236,6275431642,6593177852,7118488340,7527029871,7748292042,8314771041,8698461749,9130881079,9318310167,9330735579,9202739038,9228103327,8864632533,8506313290,8489243522,8346930939,8132091172,8332423561,8574855876,8899853935,9312432285,9802873592,9964277909,10389682313,10874596451,11383340206,11879806409,12468356817,13095434713,13151337215,13481147871,13708143322,14048868235,14429780796,15031978202,15696607066,16449574692,17200396431,18257962323,18870882348,19649631308,20672216340,21731104040,23207952414,24475238844,25444881251
Brazil,BRA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,246657166332,272003438587,286191299569,288694536428,298757222103,307879737711,320657855911,336419041437,374862595293,411358568645,447434499036,497972614269,557992268726,635992287409,693499475219,729624389257,801057609603,837956870954,865037203290,923568085520,1007714005798,963441529965,969031856602,935989871598,985308517800,1063599770422,1148563258818,1189907280328,1188685570177,1227668024401,1189581392415,1207567116462,1201928826078,1258000836940,1325109542004,1383636070619,1414180328405,1462192155579,1467139573056,1474021434606,1534641522911,1560083085801,1607714932889,1626048012471,1719722699017,1774789105960,1845079664514,1957118136056,2056809174053,2054214562458,2208872214643,2295244758549.530,2339209222185,2409739667076,2412230647720,2319423390494
Barbados,BRB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,3267321038,3202541439,3048689891,3060836066,3174200364,3206590164,3372587887,3457611111,3579072860,3708632058,3587170310,3445464936,3251126138,3275418488,3340198087,3409026412,3546683060,3712680783,3850337432,3862483607,4036578780,3939409381,3971799180,4056822404,4113504554,4279502277,4522425774,4599351548,4619595173,4433353825,4445500000,4477889800,4490035974,4490035974,4498133424,4542669399
Brunei Darussalam,BRN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,6386198431,6408899029,7700637847,8541293166,9120037094,11177738901,10395665742,8334546649,8664315901,8707764467,8760000343,8629410707,8395081649,8563749725,8657725472,8564726093,8658031957,8930408546,9355369252,9383863209,9679022997,10112518096,10403588521,10250533868,10193283745,10504398737,10803713360,11100171664,11529981106,11864806584,11924642985,11970851800,12497296363,12516614866,12273828272,12057252187,12370616062,12794905737,12916246822,12689959274,12393014248,12331049176
Bhutan,BTN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,165165439.1,188136200.9,194559060.7,216565078.8,226271753.4,235801810.6,263462722.7,339066684.7,355976922.5,382435357.4,424030689.3,422301169.5,441730787.8,450505180.6,472811961.2,506259233.8,534433435.3,563153025.1,596458068.7,644079114,688733275.1,745235395.5,825183060.9,888427847.1,940813179.5,1007823159,1076852656,1269887377,1330440106,1419010481,1585472534,1710580807,1797336501,1835844374,1936059764,1999064081
Botswana,BWA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,205010637,218015043.4,232549382.1,246318735.9,263147973.1,278447278.1,296112026.5,313655361.1,346799500.3,399247392.2,467599614.4,588339012.2,743436595.2,901812261.7,981151857.7,1064022400,1177312873,1318732168,1507743433,1690912985,1893601056,2065253293,2316502341,2621046627,2845025116,3047740873,3296830429,3688557451,4405980751,4981375660,5318755364,5715465856,5882190013,5994899076,6212388980,6649145412,7036777297,7601587676,7656470619,8396640066,8563539732,8584997725,9106066812,9527303882,9785095742,10230967882,11086672845,12004665708,12754011017,11778034531,12786662035,13560039808,14164338408,15560983628,16059544331,16018635343
Central African Republic,CAF,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,914772564.9,960085391.7,924431275.4,917893291.8,936988787.1,945867402,951968240,996487173.8,1010479814,1082137046,1107382936,1119897769,1119889002,1141041117,1213373317,1218287526,1284470297,1333360847,1349484159,1316218413,1257270257,1237851625,1333360847,1225005974,1341155590,1393826510,1443697160,1372392478,1395864136,1423464761,1392893828,1385199107,1296212609,1300556811,1364284083,1462512569,1404012046,1478424722,1547910593,1603635420,1563713716,1633530135,1692606556,1601248638,1697243361,1712655793,1774984666,1856768185,1894908554,1927296728,1986014846,2051568026,2111033559,1329698728,1312982972,1385019239
Canada,CAN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,316336974286,326343635486,349568791675,367682663713,392315404496,418351593402,445899901109,458899267123,483199552126,508615852559,525174419530,546799304019,576577204426,616731210930,639494683751,651152500000,685007887789,708697040186,736716024461,764747501068,781286059697,808655444283,782762096098,803102738206,850689388857,890961729276,910222678509,947509627548,989478628228,1012473853524,1014036566783,992481270239,1001244641914,1027830048923,1074015331295,1102774330421,1120540554553,1168497588527,1213855850514,1276529788099,1342688373423,1366464955446,1407595773442,1432964496408,1477185224908,1524475568822,1564468853329,1596739898466,1612713061250,1565144676082,1613406134731,1664086754805,1693132927878,1730687770724,1773485821200,1792608764609
Central Europe and the Baltics,CEB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790792588229,713769724215,701269921596,712335522738,741745204897,784632196675,819568813298,846391327271,870163073706,888078830022,923104808565,951384593726,982255965367,1025865295328,1083163005457,1136363228271,1210990630336,1289104463548,1336368300814,1286232428808,1311611412790,1352415744656,1359737397262,1377043690220,1415218150925,1463304745214
Switzerland,CHE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,344391603893,349906470131,345324733819,347531633234,357986970946,371137965673,378036057628,384029736792,396616680986,413793332630,428998688561,425069847445,424883951673,424348667849,429736867677,431803328028,434398870074,444442377601,457530194362,465049117557,483400432448,490393277975,491096474350,491340589318,505309148528,520661983412,541555032026,563977296960,576820414038,564536339726,581211708793,591699987439,598354418928,608938294755,620444043437,626087832007
Channel Islands,CHI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,27938377045,29069862024,30579483081,32449896990,33315618598,33454603035,36800600641,38140430771,39571337331,40944983989,41814049301,45584825562,45211396715,42977456076,44049247007,39044027919,40374017273,43885523321,47160667807,51255307860,55431901223,58057882815,52064432619,50092975221,54087059239,57937640537,61180035595,65214378614,69982333210,77372695197,80233612423,86628222004,97264375008,104059543086,109999385738,121689655400,130711107688,139345333995,143847412723,142752942761,149170819565,154165327694,157505949491,163738063755,173629622212,183282478638,191356021768,201231572326,207857031084,205702734760,217538271335,230241724512,242806316136,252461742876,257198923398,262513014570
China,CHN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,126250820601,91784346593,86644423184,95482154331,112955388573,132157804633,146298689745,137959664428,132303318180,154662578958,184667119264,197593817615,205102382694,221305470923,226395496758,246091904967,242154434494,260558171505,291517448964,313672775076,338160240792,355651287719,387718207119,429405202314,494705110882,561754124136,611895125358,683608417797,760860541787,792927461164,824119828199,900497399823,1029056594826,1172483179704,1325821357847,1471580082329,1617630324259,1766887258135,1905649563828,2050825253415,2223695100641,2408225645842,2627155250001,2890395506407,3181621437923,3542811557170,3992331462571,4559041383518,4997775145606,5459247267275,6039658508486,6612490294274,7124977970400,7672447738017,8230120617794,8797998940421
Cote d'Ivoire,CIV,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,4289508128,4715565889,4773425623,5465111983,6427686956,6227808114,6948823860,7268341328,8180390870,8960736252,9890415491,10825716247,11284361249,11954561755,12471881172,13501171353,15245036304,16360128257,18144928866,18579392397,16543518825,17122624520,17157010577,16487845912,16042466089,16764573291,17310989204,17250578541,17446628600,17960956074,17764120445,17771390442,17727928620,17693804999,17837338328,19108381523,20585330896,21355953698,22408947356,22771418229,22300414202,22327480641,21955138166,21656650171,21923410906,22300767039,22638811513,23038394864,23624224724,24392355457,24884505035,23792758396,26340131050,28768316766,31226991710,33863084782
Cameroon,CMR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,4661607600,4716786155,4860249991,5042147292,5221000309,5326780580,5572609139,4964522375,5279587043,5538364921,5709614943,5908292861,6066271353,6391161482,7077205517,7873041437,7440406914,8462709264,10324759600,10947871105,10732713507,12566148852,13510646059,14438399232,15517607857,16768817666,17904345501,17520001830,16149301365,15855526111,14887435627,14320432847,13876498969,12775805832,13039422126,13577737840,14244668114,15001652351,15736037168,16375278876,17058714409,17828791021,18543555200,19291044670,20005170990,20464660331,21124441591,21812182535,22441255964,22874787500,23622483984,24600594629,25729451636,27160443493,28770233462,30565262486
"Congo, Rep.",COG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1483222233,1607082068,1690687440,1622564564,1684494548,1746424446,1770158048,1807619408,1945564742,2092426187,2225472482,2398014162,2604664252,2819059087,3041356578,3276502007,3306524161,3010476902,3201935617,3516148755,4136278039,4865078750,6013125436,6365131564,6809171484,6728437803,6266764265,6278632052,6389529234,6555649104,6621205829,6779808039,6956893103,6888737589,6510334015,6769791944,7060248619,7016135328,7278367088,7090425140,7627594358,7917641406,8280417447,8347759108,8637979940,9307920845,9888362511,9731906590,10274194134,11041561163,12007880590,12418624708,12890531932,13334057141,14238098342,14614902201
Colombia,COL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,36474760531,38395292499,40494171271,41670168443,44421375307,45759563551,48195055977,50214735077,53442259223,56927194245,60887343108,64510884735,69461072436,74134053415,78391217822,80153489289,84014632970,87499571237,94905053698,100013653582,104112412295,106468701874,107478536557,109181401022,112844547318,116329485584,123121141111,129734601586,135001594188,139615174653,148050777227,151422236157,159042828961,162805226557,172306232682,181270356906,184997012080,191342952890,192433194593,184343273758,192491233553,195721040704,200621857330,208482767198,219601199180,229936852450,245336908226,262266694764,271568782708,276053874889,287018184638,305931280966,318302970054,333817265556,348457525761,359196735932
Comoros,COM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,261924110.7,272047271.1,289413744.3,303366461.7,315835624.9,323037851.7,329069652.5,334459784.1,343448453.6,332524473.2,349454600,330599431.4,358802615.7,369587998,350086014.5,362724572.9,358039374.1,372469580.6,377247108.2,384505809.1,426217287.5,436160666.1,446300438.8,455691055,464438511.3,477616525.7,490258556.9,494181374.5,496159418.7,505834527.3,516962886.8,530403922.3,546316039.8,565437101.2,577094375.6,
Cabo Verde,CPV,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,193155699.5,209480374,215398257.6,235905786.7,244830741.2,265989225.9,273626987.9,285417749.2,302533837.5,319772062.4,321985434.7,326506583,362218721.3,393761855.4,469295781.8,535990391.3,596806673.5,663162182.1,746172086.9,829912357.7,948464249.4,969630694.4,1020544948,1063165551,1171577314,1252562104,1352563536,1557756730,1661355661,1640249738,1664310770,1730363666,1749084787,1767366991,1816850560,1862691670
Costa Rica,CRI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,3566067758,3531978274,3819775166,4002540391,4168607878,4578366078,4938715907,5217759575,5655269642,5970705302,6418695343,6853786954,7414292745,7985854331,8428661968,8605669857,9080493234,9889063432,10508878959,11027925516,11110843981,10859554966,10068374612,10356631443,10998919026,11113463118,11756371347,12564673565,13044567823,13705362955,14240546112,14606801562,15943618404,17125627342,17935601261,18638836380,18804084964,19853011874,21520237603,23289674728,23709080919,23964284593,24659772488,26239110276,27356752786,28967074476,31510279611,34010727595,34939771576,34584881726,36298327620,37938194036,39898681618,41270108616,42715533186,43893390016
Caribbean small states,CSS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,22129171373,22849542918,24156044454,25429369897,26790748201,27303460047,29774106965,29509758691,28698719938,28397922650,28321536139,29515835034,31302011255,32366223646,31992896939,32255676831,32665778833,31744247267,31819298190,31533161852,31786704046,32134075176,32797037425,34290711702,34840411845,35394302718,35321794167,36341609045,37312101438,38414386803,39703202913,40940611906,42076946638,43774875571,45427238251,46368024606,48138284620,51048290384,53193969323,55163532153,58970275399,60881634366,61723406238,59521234618,59631444333,60326538372,61047983682,61848825594,62641990818,63470247400
Cuba,CUB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,19601614489,21284189348,22311510348,23077796647,23304995600,25513476339,26898337738,29241049233,31169788379,31508972866,29980963184,35883715498,39083909484,41198923782,44465881667,45175857079,45218911281,44132674927,45768028814,46079289523,44720611824,39938772125,35313621492,30059597181,30275103462,31019023615,33450527344,34382125872,34435666017,36567648158,38730941118,39963448818,40534362975,42071168462,44499044621,49483699922,55454307107,59481474881,61930224929,62827666171,64328200000,66131296504,68124752000,69954605015,,
Curacao,CUW,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
