Country,Energy Supply,Energy Supply per Capita,% Renewable
Turkmenistan,1102 000 000,  210, 0.00
Turks and Caicos Islands,3 000 000,  85, 0.00
Tuvalu,0,0, 0.00
Uganda,452 000 000,  12, 68.02
Ukraine,4844 000 000,  107, 8.07
United Arab Emirates,2710 000 000,  300, 0.00
United Kingdom,7920 000 000,  124, 10.60
United Republic of Tanzania,994 000 000,  20, 31.07
United States,90838 000 000,  286, 11.57
United States Virgin Islands,0,0, 0.00
Uruguay,196 000 000,  58, 71.61
Uzbekistan,1798 000 000,  62, 21.33
Vanuatu,3 000 000,  10, 14.71
Venezuela (Bolivarian Republic of),2871 000 000,  95, 67.83
Viet Nam,2554 000 000,  28, 45.32
Wallis and Futuna Islands,  0,  26, 0.00
Yemen,344 000 000,  13, 0.00
Zambia,400 000 000,  26, 99.71
Zimbabwe,480 000 000,  32, 52.54
